drop_threshold_pct,drop_window_bars,recovery_threshold_pct,recovery_window_bars,volume_spike_mult,atr_multiplier,take_profit_pct,stop_loss_pct,total_return_pct,max_drawdown_pct,win_rate,profit_factor,sharpe_ratio,total_trades,expected_return_per_trade,calmar_ratio
4.0,5,1.5,3,1.5,2.0,2.0,1.5,9.5,17.9,50.0,1.0,0.5,32,0.30,0.53
5.0,5,1.5,3,1.5,2.0,4.0,1.0,5.0,9.6,40.0,0.9,0.4,20,0.25,0.52
4.0,5,1.5,3,1.5,2.0,4.0,1.5,8.3,16.3,33.3,0.8,0.3,30,0.28,0.51
5.0,5,1.0,3,1.5,2.0,4.0,1.0,5.8,11.6,39.1,0.9,0.4,23,0.25,0.50
5.0,5,1.0,3,1.5,2.0,4.0,2.0,7.6,15.6,45.5,1.0,0.4,22,0.35,0.49
4.0,5,1.0,3,1.5,2.0,2.0,1.5,5.8,12.6,47.4,1.0,0.4,38,0.15,0.46
4.0,5,1.5,3,1.5,2.0,4.0,1.0,5.4,13.5,45.2,0.9,0.3,31,0.17,0.40
5.0,5,1.0,3,1.5,2.0,4.0,1.5,5.1,13.5,36.4,0.8,0.3,22,0.23,0.37
5.0,5,1.5,3,1.5,2.0,2.0,1.5,3.0,12.4,50.0,0.8,0.2,20,0.15,0.25
4.0,5,1.5,3,1.5,2.0,3.0,1.5,2.9,17.1,36.7,0.7,0.2,30,0.10,0.17
